Artist,Album,Song
Radiohead,Pablo Honey,You
Radiohead,Pablo Honey,Creep
Radiohead,Pablo Honey,How Do You?
Radiohead,Pablo Honey,Stop Whispering
Radiohead,Pablo Honey,Thinking About You
Radiohead,Pablo Honey,Anyone Can Play Guitar
Radiohead,Pablo Honey,Ripcord
Radiohead,Pablo Honey,Vegetable
Radiohead,Pablo Honey,Prove Yourself
Radiohead,Pablo Honey,I Can't
Radiohead,Pablo Honey,Lurgee
Radiohead,Pablo Honey,Blow Out
The Killers,Hot Fuss,Mr. Brightside
The Grateful Dead,American Beauty,Box of Rain
The Beatles,The Beatles,While My Guitar Gently Weeps - 2018 Mix
